4910,1.2801835032e-09,514.168250486,1.38697022813e-19,334.859598717,102746.712228,89.65,1695,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 463.76240838232184, 'mass': 4.5e-26}]",3,1,False,6.0458348739e-09,1
4964,1.29426291444e-09,525.74680483,1.38697022813e-19,334.859598717,102773.782411,91.0,1686,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 463.76240838232184, 'mass': 4.5e-26}]",3,1,False,6.0458348739e-09,1
5125,1.33624041831e-09,512.465667643,1.38697022813e-19,334.859598717,102724.553256,81.15,1513,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 463.76240838232184, 'mass': 4.5e-26}]",3,1,False,6.0458348739e-09,1
5057,1.31851078935e-09,522.193085437,1.38697022813e-19,334.859598717,102374.758093,84.85,1575,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 463.76240838232184, 'mass': 4.5e-26}]",3,1,False,6.0458348739e-09,1
4827,1.25854292667e-09,510.729886628,1.38697022813e-19,334.859598717,102637.515516,90.85,1721,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 463.76240838232184, 'mass': 4.5e-26}]",3,1,False,6.0458348739e-09,1

frame_no,simulated_duration,average_velocity,total_kinetic_energy,temperature,pressure,average_collisions,collisions on container,gases,dimensions,simulation_method,animation,container_radius,velocity_seed
5076,1.28188288666e-09,576.113488363,1.67977505407e-19,405.552180669,102364.911948,82.7,1554,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 510.37281891350193, 'mass': 4.5e-26}]",3,1,False,6.44442654038e-09,1
4429,1.11849080083e-09,564.308669059,1.67977505407e-19,405.552180669,102444.092098,115.9,2234,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 510.37281891350193, 'mass': 4.5e-26}]",3,1,False,6.44442654038e-09,1
4211,1.06343751688e-09,552.932551348,1.67977505407e-19,405.552180669,102645.277027,67.65,1263,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 510.37281891350193, 'mass': 4.5e-26}]",3,1,False,6.44442654038e-09,1
3667,9.26056845028e-10,574.513450614,1.67977505407e-19,405.552180669,102553.34913,88.3,1692,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 510.37281891350193, 'mass': 4.5e-26}]",3,1,False,6.44442654038e-09,1
3916,9.88938806962e-10,582.628682035,1.67977505407e-19,405.552180669,102623.22849,79.9,1504,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 510.37281891350193, 'mass': 4.5e-26}]",3,1,False,6.44442654038e-09,1

frame_no,simulated_duration,average_velocity,total_kinetic_energy,temperature,pressure,average_collisions,collisions on container,gases,dimensions,simulation_method,animation,container_radius,velocity_seed
3946,9.70182057514e-10,617.360332765,1.97257988001e-19,476.24476262,102235.028886,76.95,1437,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 553.06894429434124, 'mass': 4.5e-26}]",3,1,False,6.79900616222e-09,1
3966,9.75099351267e-10,595.325336424,1.97257988001e-19,476.24476262,102361.473493,75.15,1455,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 553.06894429434124, 'mass': 4.5e-26}]",3,1,False,6.79900616222e-09,1
4054,9.96735443781e-10,600.274326205,1.97257988001e-19,476.24476262,102436.732981,72.45,1343,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 553.06894429434124, 'mass': 4.5e-26}]",3,1,False,6.79900616222e-09,1
3962,9.74115892516e-10,619.032344965,1.97257988001e-19,476.24476262,102543.110401,74.95,1419,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 553.06894429434124, 'mass': 4.5e-26}]",3,1,False,6.79900616222e-09,1
4028,9.90342961902e-10,603.789973439,1.97257988001e-19,476.24476262,102013.583664,65.75,1259,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 553.06894429434124, 'mass': 4.5e-26}]",3,1,False,6.79900616222e-09,1

frame_no,simulated_duration,average_velocity,total_kinetic_energy,temperature,pressure,average_collisions,collisions on container,gases,dimensions,simulation_method,animation,container_radius,velocity_seed
4035,9.69441936128e-10,663.132672394,2.26538470595e-19,546.937344572,101848.548784,70.85,1351,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 592.6973089191481, 'mass': 4.5e-26}]",3,1,False,7.12002015733e-09,1
3934,9.45175855447e-10,641.755710907,2.26538470595e-19,546.937344572,102084.389552,73.6,1414,"[{'count': 20, 'radius': 1.55e-10, 'v_p': 592.6973089191481, 'mass': 4.5e-26}]",3,1,False,7.12002015733e-09,1
